cluster	loc.d	loc.o	span	span2	intro_date	intro_date2	rep_strain	area
cluster_334	Czech_Republic	Russian_Federation	0.5600000000001728	0.16000000000008185	2020.85	2021.25	peacock/Czech_Republic/6529-2/2021	gE
cluster_335	Poland	Czech_Republic	0.2599999999999909	0	2020.86	2021.12	mute_swan/Poland/MB131/2021	gE
cluster_336	China	Russian_Federation	1.650000000000091	1.3900000000001	2020.52	2020.78	Whooper_swan/Sanmenxia/G29/2020	gCN
cluster_337	Vietnam	China	0.6100000000001273	0.41000000000008185	2021.31	2021.51	chicken/Vietnam/HU14-LB11/2021	gSEA
cluster_338	Japan	China	0.3300000000001546	0.03000000000020009	2021.55	2021.85	chicken/Akita/7C/2021	gNA
cluster_339	Japan	China	0.049999999999954525	0.009999999999990905	2021.06	2021.1	chicken/Chiba/H2C/2021	gNA
cluster_340	Sweden	Russian_Federation	1.3399999999999181	1.1599999999998545	2020.72	2020.9	barnacle_goose/Sweden/SVA201201SZ0353/KN003624/2020	gE
cluster_341	Netherlands	Sweden	0.19000000000005457	0.16000000000008185	2020.82	2020.85	common_buzzard/Netherlands/21021023-002/2021	gE
cluster_342	Germany	Netherlands	0	0	2020.86	2020.86	chicken/Germany-MV/AI02431/2020	gE
cluster_343	France	Germany	0.08999999999991815	0.009999999999990905	2020.97	2021.05	curlew/France/21P003648/2021	gE
cluster_344	Sweden	France	0.13000000000010914	0.08999999999991815	2021.11	2021.15	Mute_Swan/Sweden/SVA210303SZ0392/KN000806/Kal/2021	gE
cluster_345	Germany	Russian_Federation	0.30999999999994543	0	2020.77	2021.08	turkey/Germany-MV/AI01015/2021	gE
cluster_346	Sweden	Russian_Federation	0.029999999999972715	0	2020.83	2020.86	barnacle_goose/Sweden/SVA201117SZ0468/KN003355/2020	gE
cluster_347	Netherlands	Russian_Federation	0.07999999999992724	0.029999999999972715	2020.74	2020.79	mute_swan/Netherlands/20015931-001/2020	gE
cluster_348	Norway	Netherlands	0.16999999999984539	0.05999999999994543	2020.9	2021.01	mute_swan/Norway/FU48/2021	gE
cluster_349	Lithuania	Russian_Federation	0.05999999999994543	0.05999999999994543	2021.15	2021.15	swan/Lithuania/1258PG1_21VIR2606-2/2021	gE
cluster_350	Germany	Russian_Federation	0.8299999999999272	0.7300000000000182	2020.72	2020.82	barnacle_goose/Germany-SH/AI02379/2020	gE
cluster_351	United_Kingdom	Germany	0.12000000000011823	0.10000000000013642	2020.84	2020.86	chicken/Scotland/043405/2020	gE
cluster_352	United_Kingdom	Germany	0.07000000000016371	0.07000000000016371	2020.85	2020.85	brent_goose/England/233339/2020	gE
cluster_353	Sweden	United_Kingdom	0.22000000000002728	0.029999999999972715	2021.07	2021.26	whooper_swan/Sweden/SVA210420SZ0485/FB0001581/W-2021	gE
cluster_354	Slovenia	Germany	0.01999999999998181	0.01999999999998181	2020.92	2020.92	mute_swan/Slovenia/1756-20_21VIR959-3/2020	gE
cluster_355	Poland	Germany	0.01999999999998181	0.01999999999998181	2020.9	2020.9	chicken/Poland/448/2020	gE
cluster_356	Sweden	Germany	0.6800000000000637	0.43000000000006366	2020.97	2021.22	Mallard/Sweden/SVA210827SZ0252/KN002973/D-2021	gE
cluster_357	Norway	Sweden	0.21000000000003638	0.029999999999972715	2021.27	2021.45	greylag_goose/Norway/V294_21VIR7634-1/2021	gE
cluster_358	Poland	Germany	0.12999999999988177	0.12999999999988177	2021.22	2021.22	chicken/Poland/H928_21RS1385-16/2021	gE
cluster_359	Bulgaria	Germany	0.33999999999991815	0.25	2021	2021.09	chicken/Bulgaria/274-5_21VIR4270-4/2021	gE
cluster_360	Albania	Bulgaria	0.2599999999999909	0.009999999999990905	2021.16	2021.41	chicken/Albania/2574_21VIR5387-1/2021	gE
cluster_361	Kosovo	Albania	1	0.7799999999999727	2021.16	2021.38	duck/Kosovo/107_21VIR5162-17/2021	gE
cluster_362	Croatia	Kosovo	0.01999999999998181	0.01999999999998181	2021.16	2021.16	mute_swan/Croatia/14/2021	gE
cluster_363	Nigeria	Russian_Federation	0.17000000000007276	0.060000000000172804	2020.99	2021.1	chicken/Nigeria/VRD21-53B_21VIR2288-5/2021	gA
cluster_364	Netherlands	Russian_Federation	0.43000000000006366	0.3500000000001364	2020.75	2020.83	barnacle_goose/Netherlands/21023498-002/2021	gE
cluster_365	Belgium	Netherlands	0.2400000000000091	0.029999999999972715	2021.06	2021.27	Gallus_gallus/Belgium/5107_002/2021__________________________	gE
cluster_366	United_Kingdom	Netherlands	0.03999999999996362	0.01999999999998181	2020.9	2020.92	seal/England/AVP-031141/2020	gE
cluster_367	Belgium	Netherlands	0	0	2021.16	2021.16	Aalopochen_Aegyptiaca/Belgium/2928_002/2021	gE
